price,likes,tips,photos,ratingSignals,rating,Restaurant_Class
1,16.0,3,77,18.0,8.5,1
1,12.0,10,25,15.0,7.2,1
1,42.0,9,25,52.0,8.3,1
1,62.0,23,19,74.0,8.7,1
1,6.0,2,15,8.0,7.6,1
1,57.0,7,19,63.0,8.9,1
1,12.0,4,10,16.0,7.5,1
1,50.0,15,23,62.0,8.3,1
1,11.0,0,8,17.0,7.0,1
1,22.0,2,8,31.0,7.1,1
1,16.0,4,60,23.0,8.1,1
1,374.0,47,468,453.0,8.7,1
1,117.0,15,75,149.0,8.0,1
1,12.0,4,9,14.0,7.9,1
2,37.0,11,16,45.0,8.0,1
1,33.0,19,36,56.0,6.1,1
1,39.0,10,16,59.0,6.6,1
2,19.0,9,24,33.0,5.9,1
1,8.0,0,10,9.0,7.4,1
1,7.0,0,1,9.0,7.9,1
2,51.0,20,91,85.0,6.6,1
2,62.0,12,96,87.0,7.4,1
1,16.0,3,3,22.0,7.0,1
1,12.0,5,10,16.0,7.2,1
1,249.0,127,166,336.0,8.6,1
1,94.0,72,39,153.0,9.0,1
1,19.0,0,6,27.0,6.5,1
1,65.0,39,739,76.0,8.9,1
1,47.0,12,399,56.0,8.7,1
2,68.0,7,36,81.0,8.8,1
1,82.0,12,69,111.0,7.6,1
1,10.0,0,8,11.0,8.2,1
1,8.0,1,4,16.0,6.1,1
1,6.0,1,8,9.0,6.7,1
1,2.0,4,5,4.0,6.5,1
1,5.0,1,4,9.0,6.5,1
1,16.0,2,11,21.0,7.6,1
